1130420;LIMOEIRO
1130422;PONTA DE FAJAZINHA
1130501;AGRIOES
1130502;AGUADA
1130503;BENTO
1130504;BORDA DE AGRIOES
1130505;CHA DE PEDRAS
1130506;FAJA DE BARREIRA
1130507;LAGEDINHO
1130508;LOMBO PATRICIO
1130509;PARDINHA
1130510;PIA DE BAIXO
1130511;PIA DE CIMA
1130512;TABULEIRO
1130513;VARZEA DE PIA
1130514;CHÃNZINHA
1130515;LOMBINHO
1130516;LOMBO SANCHA
1130517;CHÃ DE BAIXO
1130518;LOMBO BRUNO
1130519;LOMBO MATO
1130520;SABIDELA
1130521;FUNDO CHÃ DE PEDRA
1130522;TRAVESSADO
1130523;LOMBO DE CHÃ
1130524;PONTA DE MERADINHA
1130525;TEBÚZIO
1130526;FONTE FRESQUINHO
1130601;BOCA DE FIGUEIRAL
1130602;CAMPINHO
1130603;COCULI
1130604;CURRAL
1130605;FAJA DE COCULI
1130606;FAJA DE MATOS
1130607;FLORES
1130608;FURNAS
1130609;FURNA DE CIMA
1130610;FORRADOR
1130611;IGREJINHA
1130612;LOMBO DE MACAR
1130613;PALMEIRA
1130614;PEDRO MATOS
1130615;PICOTEIRO
1130616;TAMBORIM
1130617;FIGUEIRAL DE SÃO JOÃO
1130618;LADEIRA
1130619;FAJÃ DE MATO DE BAIXO
1130620;FAJÃ DE MATO DE CIMA
1130621;PÉ DESCIDA DE FAJÃ DE MATOS
1130622;BOCA RUIM
1130623;CHÃ DE BANCA
1130701;AGUA DOS BOIS
1130702;BARDO DE FERRO
1130703;CABOUCO DE PEDRA
1130704;CHA DE CORDA
1130705;CHA DE GALINHA
1130706;CHA DE MATO
1130707;CHA DE MATO DE CIMA
1130708;CHA DE SABONETE
1130709;COVOADA
1130710;COVADINHA
1130711;COVOADA LARGA
1130712;ESPONJEIRO
1130713;GAIDO
1130714;LAGEDO VERMELHO
1130715;LOMBO DE AGUA DOS BOIS
1130716;LOMBO LARGO
1130717;MATINHO JOAO AFONSO
1130718;PEDRA LAJA
1130719;POCO DE CORDA
1130720;QUINTAL
1130721;RAIZES
1130722;RIBEIRA DRAGOEIRO
1130723;RIBEIRAO GRANDE
1130724;RIBEIRAO LARGO
1130725;RUA DE PAPA FRIA
1130726;SELADINHA DE CORDA
1130727;RIBEIRA MERADA
1130728;ESCOVADINHA
1130729;MATIM
1130730;LOMBO DE PEDRA
1130731;CHA DE HOLANDA
1130801;ALMEIRIM
1130802;BECO DE PORTO
1130803;CORDA SIMAO
1130804;DESCANSO
1130805;DOGOLHO
1130806;FIGUEIRAL DE CIMA
1130807;LOMBO DE JOAO PAPA
1130808;MANUEL FICO
1130809;RUA ESCOLASTICA
1130810;TERRINHA VERMELHA
1130811;TOPO DE DJACK
1130812;TOPO DE VISTA
1130813;TRAVESSA
1130814;TRAVESSOD
1130815;LOMBO GUERRA
1130816;SELADA DE BOAVENTURA
1130817;SELADA DE ROXO
1130818;CHA DE AUGUSTO
1130901;CAIBOS
1130902;CHA DE COELHO
1130903;CHA DE MACHADO
1130904;CHA DE NEGRO
1130905;FAJA DE PEDRO MENDES
1130906;FAJA DOS BOIS
1130907;FAJA DOS CUMES
1130908;FUNCHO
1130909;FUNDO DE CASACA
1130910;GONCALINHO
1130911;LOMBO DE PEDRA
1130912;LOMBO SANCHA
1130913;BORDEIRA
1130914;CHÃ MACHINHA
1130915;MANUEL RIBEIRO
1131001;COVADA D'ÁGUA
1131002;LAGOINHA
1131003;MATINHO
1131004;RIBEIRÃO ESFIGUEIRAS
1131005;RIBEIRÃO GRANDE
1131006;RECANTO DE RIBEIRÃO LARGO
1131007;RIBEIRINHA
1131009;COVÃO DE LAGOA
1131010;COVOADA FUNDA
1131011;LOMBO DE COVOADA FUNDA
1131012;CRUZ DE JOÃO HERODES
1131013;FIGUEIRINHA
1131014;FUNDÃO DE LAGOA
1131015;LOMBO DE COVÃO DE LAGOA
1131016;CAMPAINHA
1131018;LAGOA
1131019;CHA BRANCA GATEIA
1131021;TRIL
1131101;CHA DE BELINHA
1131102;DONGONHA
1131103;LADEIRA DE GARCA
1131104;LOMBO SANTA
1131105;LOMBINHO BRANCO
1131106;LOSNAS DE RIBEIRA GRANDE
1131107;SILVÃO
1131201;CAFORINHA
1131202;CAMPO DE CAO
1131203;CHA DE FAZENDA
1131204;CHA DE PAPAIA
1131205;CHA DE VIANICHE
1131206;FUNDO DE TANQUE
1131207;LOMBINHO BRANCO
1131208;LOMBO BRANCO
1131209;LOMBO DE CANTINA
1131210;LOMBO DE GAMBOESA
1131211;PONTA DE BARREIRO
1131212;LOMBO DE CALÇÃO
1131213;LOMBO CANSADO
1131214;PONTA DE SINTRA
1131215;ESPONGEIRO
1131216;LOMBO NIGRIM
1131217;CHÃ DE LABRADO
1131218;PEDRA DE PASSARINHO
1131219;ESTRELA
1131220;LOMBO VERMELHO
1131221;GUDINHO
1131222;CAMILO
1131223;CHÃ VIANA
1131224;CRUZ
1131225;NITCHE
1131226;LAGEDO
1131227;PONTA RIBEIRÃO DE BAIXO
1131228;COVOADINHA
1140101;CHA DE CAVALO
1140102;CHA DE CIMA
1140103;CHA DE IGREJA
1140104;CRUZINHA DE GARCA
1140105;CURRAL DE MOCHO
1140106;FAJA GRANDE
1140107;LOMBO CLARA DE MOCHO
1140108;RIBEIRA DO INFERNO
1140109;SELADA DE MOCHO
1140110;FUNDO DE MOCHO
1140111;LOMBO DE JOÃO PEDRO
1140112;CRUZINHA
1140113;COVOADA
1140114;CRUZ
1140115;CABOUCO DE TAREFE
1140116;FUNDO DE CAVALO
1140117;LADEIRA
1140201;FIGUEIRAS DE CIMA
1140202;FUNDAS DE BAIXO
1140203;LOMBO DE GALINHA
